timestamp,speed
datetime,float
T,
2019-04-09 17:19:10:433,0.33104467
2019-04-09 17:19:10:667,0.33104467
2019-04-09 17:19:10:786,0.33104467
2019-04-09 17:19:10:902,0.33104467
2019-04-09 17:19:11:137,0.33104467
2019-04-09 17:19:11:254,0.33104467
2019-04-09 17:19:11:375,0.33104467
2019-04-09 17:19:11:613,0.33104467
2019-04-09 17:19:11:725,0.33104467
2019-04-09 17:19:11:843,0.33104467
2019-04-09 17:19:12:077,0.33104467
2019-04-09 17:19:12:195,0.33104467
2019-04-09 17:19:12:312,0.33104467
2019-04-09 17:19:12:554,0.33104467
2019-04-09 17:19:12:664,0.33104467
2019-04-09 17:19:12:768,0.33104467
2019-04-09 17:19:12:996,0.33104467
2019-04-09 17:19:13:115,0.33104467
2019-04-09 17:19:13:232,0.33104467
2019-04-09 17:19:13:467,0.33104467
2019-04-09 17:19:13:607,0.33104467
2019-04-09 17:19:13:720,0.33104467
2019-04-09 17:19:13:936,0.33104467
2019-04-09 17:19:14:061,0.33104467
2019-04-09 17:19:14:173,0.33104467
2019-04-09 17:19:14:407,0.33104467
2019-04-09 17:19:14:510,0.33104467
2019-04-09 17:19:14:744,0.33104467
2019-04-09 17:19:14:848,0.33104467
2019-04-09 17:19:14:963,0.33104467
2019-04-09 17:19:15:107,0.33104467
2019-04-09 17:19:15:336,0.33104467
2019-04-09 17:19:15:438,0.33104467
2019-04-09 17:19:15:676,0.33104467
2019-04-09 17:19:15:793,0.33104467
2019-04-09 17:19:15:910,0.33104467
2019-04-09 17:19:16:147,0.33104467
2019-04-09 17:19:16:262,0.33104467
2019-04-09 17:19:16:383,0.33104467
2019-04-09 17:19:16:600,0.33104467
2019-04-09 17:19:16:715,0.33104467
2019-04-09 17:19:16:885,0.33104467
2019-04-09 17:19:16:991,0.33104467
2019-04-09 17:19:17:227,0.33104467
2019-04-09 17:19:17:343,0.33104467
2019-04-09 17:19:17:558,0.33104467
2019-04-09 17:19:17:662,0.33104467
2019-04-09 17:19:17:786,0.33104467
2019-04-09 17:19:17:996,0.33104467
2019-04-09 17:19:18:166,0.33104467
2019-04-09 17:19:18:269,0.33104467
2019-04-09 17:19:18:387,0.33104467
2019-04-09 17:19:18:621,0.33104467
2019-04-09 17:19:18:739,0.33104467
2019-04-09 17:19:18:957,0.33104467
2019-04-09 17:19:19:071,0.33104467
2019-04-09 17:19:19:188,0.33104467
2019-04-09 17:19:19:407,0.33104467
2019-04-09 17:19:19:523,0.33104467
2019-04-09 17:19:19:663,0.33104467
2019-04-09 17:19:19:775,0.33104467
2019-04-09 17:19:20:012,0.33104467
2019-04-09 17:19:20:164,0.33104467
2019-04-09 17:19:20:266,0.33104467
2019-04-09 17:19:20:501,0.33104467
2019-04-09 17:19:20:620,0.33104467
2019-04-09 17:19:20:738,0.33104467
2019-04-09 17:19:20:973,0.33104467
2019-04-09 17:19:21:092,0.33104467
2019-04-09 17:19:21:210,0.33104467
2019-04-09 17:19:21:445,0.33104467
2019-04-09 17:19:21:548,0.33104467
2019-04-09 17:19:21:664,0.33104467
2019-04-09 17:19:21:899,0.33104467
2019-04-09 17:19:22:019,0.33104467
2019-04-09 17:19:22:134,0.33104467
2019-04-09 17:19:22:368,0.33104467
2019-04-09 17:19:22:509,0.33104467
2019-04-09 17:19:22:625,0.33104467
2019-04-09 17:19:22:859,0.33104467
2019-04-09 17:19:22:961,0.33104467
2019-04-09 17:19:23:079,0.33104467
2019-04-09 17:19:23:312,0.33104467
2019-04-09 17:19:23:418,0.33104467
2019-04-09 17:19:23:530,0.33104467
2019-04-09 17:19:23:767,0.33104467
2019-04-09 17:19:23:919,0.33104467
2019-04-09 17:19:24:021,0.33104467
2019-04-09 17:19:24:240,0.33104467
2019-04-09 17:19:24:341,0.33104467
2019-04-09 17:19:24:578,0.33104467
2019-04-09 17:19:24:737,0.33104467
2019-04-09 17:19:24:846,0.33104467
2019-04-09 17:19:24:949,0.33104467
2019-04-09 17:19:25:173,0.33104467
2019-04-09 17:19:25:282,0.33104467
2019-04-09 17:19:25:502,0.33104467
2019-04-09 17:19:25:621,0.33104467
2019-04-09 17:19:25:744,0.33104467
2019-04-09 17:19:25:972,0.33104467
2019-04-09 17:19:26:078,0.33104467
2019-04-09 17:19:26:303,0.33104467
