jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|sensorParams|encoders|speed:n,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|clParams|alpha,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=speed,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=speed, 
1003,  1328,  completed,  killed,  2019-04-09 10:45:51,  2019-04-09 10:47:34,  103,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_508.modelParams|sensorParams|encoders|_classifierInput|n_423.modelParams|clParams|alpha_0.0823875620645.modelParams|spParams|synPermInactiveDec_0.0124319544559,  7300,  11,  None,  16,  None,  5,  508,  None,  423,  0.0823875620645,  0.0124319544559,  0.38061536306,  4.40863446969, 
1003,  1329,  completed,  eof,  2019-04-09 10:46:12,  2019-04-09 10:47:59,  107,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_507.modelParams|spParams|synPermInactiveDec_0.0114229758762,  10283,  10,  1,  16,  None,  5,  None,  None,  507,  0.1,  0.0114229758762,  1.66100911912,  14.4231243568, 
1003,  1330,  completed,  killed,  2019-04-09 10:47:21,  2019-04-09 10:47:36,  15,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|sensorParams|encoders|speed:n_517.modelParams|sensorParams|encoders|_classifierInput|n_423.modelParams|clParams|alpha_0.0803826755117.modelParams|spParams|synPermInactiveDec_0.0107545431752,  850,  11,  None,  16,  None,  5,  517,  None,  423,  0.0803826755117,  0.0107545431752,  0.103710274735,  2.09801351896, 
1003,  1331,  completed,  eof,  2019-04-09 10:47:34,  2019-04-09 10:49:19,  105,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_519.modelParams|spParams|synPermInactiveDec_0.00286170558767,  10283,  10,  1,  16,  None,  5,  None,  None,  519,  0.1,  0.00286170558767,  1.61966727712,  14.0641386526, 
1003,  1332,  completed,  eof,  2019-04-09 10:47:35,  2019-04-09 10:49:16,  101,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_481.modelParams|spParams|synPermInactiveDec_0.0116484402865,  10283,  10,  1,  16,  None,  5,  None,  None,  481,  0.1,  0.0116484402865,  1.63830861213,  14.2260078982, 
1003,  1333,  completed,  eof,  2019-04-09 10:47:36,  2019-04-09 10:49:17,  101,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_518.modelParams|spParams|synPermInactiveDec_0.0050811042259,  10283,  10,  1,  16,  None,  5,  None,  None,  518,  0.1,  0.0050811042259,  1.70225426119,  14.7812703816, 
1003,  1334,  completed,  eof,  2019-04-09 10:48:00,  2019-04-09 10:49:40,  100,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_492.modelParams|spParams|synPermInactiveDec_0.0120415822233,  10283,  10,  1,  16,  None,  5,  None,  None,  492,  0.1,  0.0120415822233,  1.63274924637,  14.1777339768, 
1003,  1335,  completed,  killed,  2019-04-09 10:49:16,  2019-04-09 10:49:40,  24,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_490.modelParams|spParams|synPermInactiveDec_0.0146856938208,  1200,  10,  1,  16,  None,  5,  None,  None,  490,  0.1,  0.0146856938208,  0.780291210172,  6.94332677067, 
1003,  1336,  completed,  killed,  2019-04-09 10:49:18,  2019-04-09 10:49:41,  23,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_488.modelParams|spParams|synPermInactiveDec_0.0125131877019,  1000,  10,  1,  16,  None,  5,  None,  None,  488,  0.1,  0.0125131877019,  0.693914213262,  9.57246441259, 
1003,  1337,  completed,  killed,  2019-04-09 10:49:19,  2019-04-09 10:49:41,  22,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_492.modelParams|spParams|synPermInactiveDec_0.0114889620549,  900,  10,  1,  16,  None,  5,  None,  None,  492,  0.1,  0.0114889620549,  0.650676377257,  11.1827783921, 
